qid,category_en,category_ja,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q67288762,anatomical structure,解剖学的構造,Q4936952,Ure mummified cat's head,,Egyptian animal mummy,,,,,,
Q103471017,anatomical structure,解剖学的構造,Q4936952,Adonis vernalis flower,,flower,,,,,,
Q103471272,anatomical structure,解剖学的構造,Q4936952,Adonis aestivalis flower,,flower,,,,,,
Q103445788,anatomical structure,解剖学的構造,Q4936952,Fraxinus excelsior seed,,seed from Fraxinus excelsior,,,,,,
Q40458125,anatomical structure,解剖学的構造,Q4936952,lily,百合,popular flower,ポピュラーな花,,,,,
Q103563496,anatomical structure,解剖学的構造,Q4936952,Jatropha curcas seed,,plant seed,,,,,,
Q184208,anatomical structure,解剖学的構造,Q4936952,rhizome,根茎,underground stem in which various plants asexually reproduce via budding.,,D027343,,,,C0949790
Q4536561,anatomical structure,解剖学的構造,Q4936952,Zungenblüte,,German term: A subclass of individual flowers,,,,,,
Q639634,anatomical structure,解剖学的構造,Q4936952,axil,,part of plant,,,,,,
Q103748177,anatomical structure,解剖学的構造,Q4936952,cucumber seed,,seed from the fruit of Cucumis sativus,,,,,,
