en_label,ja_label,category_en,category_ja,en_description,ja_description,qid
Aicardi-Goutieres syndrome,エカルディ・グティエール症候群,disease,病気,a rare genetic neurodevelopmental disorder,,Q403453
hereditary multiple exostoses,遺伝性多発性外骨腫,disease,病気,"exostosis that has material basis in a mutation on the genes EXT1, EXT2 and EXT3 which results in multiple bony spurs throughout a child's growth",,Q1952467
arthritis,関節炎,disease,病気,"any of several joint disorders, some autoimmune, some infectious",,Q170990
compulsive sexual behaviour disorder,色情症,disease,病気,mental disorder according to ICD-11,性欲の異常亢進,Q5958573
juvenile rheumatoid arthritis,若年性特発性関節炎,disease,病気,rheumatoid arthritis that involves an autoimmune disease onset in children under 16 which attacks the healthy cells and tissue of located in joint,,Q861224
pharmaceutical preparation of nitroglycerin,ニトログリセリン,medication,医薬品,drug,,Q3221044
luseogliflozin,ルセオグリフロジン,medication,医薬品,chemical compound,,Q27275212
mania,躁病,symptom,症状,"state of abnormally elevated or irritable mood, arousal, and/or energy levels",気分高揚・万能感・活動性激増・多弁・自己過大評価・睡眠激減・観念奔逸・病識欠如などを特徴とする精神疾患,Q185935
POEMS syndrome,クロウ・深瀬症候群,symptom,症状,paraneoplastic syndrome,,Q2553422
Alice in Wonderland syndrome,不思議の国のアリス症候群,symptom,症状,neuropsychological condition,ものの大きさに関する様々な主観的イメージの変容を引き起こす症候群,Q649340
Stevens–Johnson syndrome,スティーブンス・ジョンソン症候群,symptom,症状,skin disease,皮膚や粘膜の過敏症,Q1053948
Dissociative Experiences Scale,解離体験尺度,surgery,外科手術,questionnaire to screen for dissociative identity disorder,,Q1229320
computed tomography,コンピュータ断層撮影,surgery,外科手術,medical imaging procedure using X-rays to produce cross-sectional images,放射線を用いて、物体の内部をスライス画像化して観察できるようにする技術,Q32566
Myers-Briggs Type Indicator,MBTI,surgery,外科手術,model of personality types,アメリカで提唱された、類型論に基づくパーソナリティ検査(性格検査）,Q897939
human follitropin,卵胞刺激ホルモン,protein,タンパク質,gonadotropin that regulates the development of reproductive processes,性腺刺激ホルモンの一つ,Q200774
chlorocruorin,クロロクルオリン,protein,タンパク質,,呼吸色素のひとつ,Q179145
cholera toxin,コレラ毒素,protein,タンパク質,protein complex secreted by the bacterium Vibrio cholerae,コレラ菌から分泌される毒素,Q83586
Erythrocruorin,エリスロクルオリン,protein,タンパク質,chemical compound,呼吸色素のひとつ,Q409796
lily,百合,anatomical structure,解剖学的構造,popular flower,ポピュラーな花,Q40458125
rhizome,根茎,anatomical structure,解剖学的構造,underground stem in which various plants asexually reproduce via budding.,,Q184208
Common scab,そうか病,infectious disease,感染症,Plant disease affecting potatoes and other crops,,Q1734637
infectious coryza,伝染性コリーザ,infectious disease,感染症,disease of poultry,,Q5788570
Deltacron,デルタクロン株,infectious disease,感染症,Cross of SARS-CoV-2 variant Delta and SARS-CoV-2 variant Omikron discovered in Cyprus.,,Q110488017
air force officer,空軍将校,medical procedure,医療処置,military officer in an air force,,Q19934710
United States Naval Aviator,アメリカ海軍飛行士,medical procedure,医療処置,commissioned officer or warrant officer qualified as a manned aircraft pilot in the United States Navy or United States Marine Corps,,Q7890793
SARS-CoV-2 Alpha variant,SARSコロナウイルス2-アルファ株,virus,ウイルス,variant of SARS-CoV-2,SARSコロナウイルス2の変異株,Q104376647
tobacco mosaic virus,タバコモザイクウイルス,virus,ウイルス,species of virus,ウイルスの一種,Q332874
SARS-CoV-2,SARSコロナウイルス2,virus,ウイルス,virus that causes COVID-19,2019年に存在が報告された新種のコロナウイルス、COVID-19の原因となる感染症,Q82069695
gokoto,五虎湯,therapeutic agent,治療薬,Kampo drug,漢方薬の一種,Q27731328
hachimijiogan / hachimigan,八味地黄丸,therapeutic agent,治療薬,Kampo drug,漢方薬の一種,Q27731440
Nyūjō,入定,therapeutic agent,治療薬,,空海が永遠の瞑想に入っているという信仰,Q11388886
goreisan,五苓散,therapeutic agent,治療薬,Kampo drug,,Q27731330
Shambhala Training,シャンバラ・トレーニング,therapeutic agent,治療薬,secular approach to meditation developed by Tibetan Buddhists,,Q3240224
Siding Spring Survey,サイディング・スプリングサーベイ,medical device,医療機器,near-Earth object search program,,Q492918
Hubble eXtreme Deep Field,ハッブル・エクストリーム・ディープ・フィールド,medical device,医療機器,multiple exposure image of deep space in the constellation Fornax,,Q62917
Beijing Schmidt CCD Asteroid Program,北京天文台CCD小惑星観測プログラム,medical device,医療機器,1990s astronomical survey in China,,Q814731
revised Hoenn Pokédex,新型ホウエンずかん,medical device,医療機器,,,Q18922463
Spacewatch,スペースウォッチ,medical device,医療機器,University of Arizona project for study of minor planets and comets,,Q213563
Sloan Digital Sky Survey,スローン・デジタル・スカイサーベイ,medical device,医療機器,multi-spectral imaging and spectroscopic redshift survey,,Q840332
mate,マテ,medical device,医療機器,"traditional infusion from the yerba mate plant, from Paraguay, Guarani people.",飲料の1つ,Q203540
